time,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,djf,mam,jja,son,winter,summer,year
1962,0.91,-0.33,0.77,7.53,9.91,14.42,16.09,17.91,13.11,8.63,1.72,-3.37,0.56,6.07,16.14,7.82,2.56,13.16,7.27
1963,-6.31,-4.72,2.47,8.46,10.94,14.68,17.69,15.02,13.49,8.25,6.68,-2.8,-4.8,7.29,15.8,9.47,-0.26,13.38,6.99
1964,-3,1.77,2.33,8.67,13.4,16.32,18.8,15.92,13.7,6.96,4.51,-0.92,-1.34,8.13,17.01,8.39,2.2,14.47,8.2
1965,0.33,-3.26,3.13,6.02,10.99,15.4,15.19,15.09,11.23,8.09,3.13,2.33,-1.28,6.71,15.23,7.49,1.79,12.32,7.31
1966,-2.48,4.92,2.77,8.95,12.33,16.26,15.16,14.78,14.19,11,1.58,1.1,1.59,8.02,15.4,8.92,3.13,13.61,8.38
1967,-0.56,1.89,4.91,6.44,11.45,14.17,18.68,16.27,12.72,10.86,3.86,-1.6,0.81,7.6,16.37,9.15,3.32,13.29,8.26
1968,-1.39,1.19,4.09,8.63,10.85,14.91,16.33,14.58,12.17,10.42,3.36,-1.02,-0.6,7.86,15.27,8.65,2.83,12.91,7.84
1969,0.19,-1.63,3.24,6.87,12.77,12.88,17.75,15.49,13.8,9.25,4.24,-4.02,-0.82,7.62,15.37,9.09,2.43,13.26,7.57
1970,-0.65,0.36,1.06,5.11,10.64,16.23,16.59,16.53,13.81,7.91,5.25,-1.09,-1.44,5.6,16.45,8.99,1.71,13.15,7.65
1971,-2.11,-0.26,-0.05,9.89,13.25,13.42,18.31,17.6,12.37,9.21,2.25,0.67,-1.15,7.7,16.44,7.94,1.61,14.14,7.88
1972,-0.54,2.66,5.57,6.7,10.8,13.65,16.26,15.45,10.2,6.81,3.93,-0.61,0.93,7.69,15.12,6.98,3.3,12.18,7.57
1973,-1.14,-0.8,2.44,4.55,12.79,15.46,16.37,17.99,14.14,7.17,3.22,0,-0.85,6.59,16.61,8.18,1.77,13.55,7.68
1974,2.51,2.55,6.12,7.56,10.75,13.56,16.32,17.35,12.69,3.9,3.73,3.15,1.69,8.14,15.74,6.77,3.59,13.04,8.35
1975,2.91,1.22,2.81,7.01,11.54,13.53,17.08,16.87,15.05,7.03,3.81,-0.8,2.42,7.12,15.83,8.63,2.95,13.51,8.17
1976,0.61,0.85,2.89,7.15,12.79,17.59,18.29,15.24,11.78,9.77,3.82,-1.51,0.22,7.61,17.04,8.46,2.4,13.81,8.27
1977,0.18,3.96,6.56,5.76,10.99,14.35,16.39,15.12,11.94,9.93,4.18,1.08,0.88,7.77,15.29,8.68,3.8,12.43,8.37
